id,email,label
48,Attached is the regular invoice for this month using our registered payment details.,safe
2,Please process the invoice using the bank details already on file.,safe
75,Please update our supplier bank details immediately; the payment is time sensitive.,dangerous
53,Please process the invoice using the bank details already on file.,safe
1,Please process the invoice using the bank details already on file.,safe
98,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
100,Our payment account has changed unexpectedly. Send the next payment to this new account.,dangerous
85,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
54,Following up on the scheduled invoice payment; no bank details have changed.,safe
31,Following up on the scheduled invoice payment; no bank details have changed.,safe
99,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
93,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
72,Our payment account has changed unexpectedly. Send the next payment to this new account.,dangerous
69,Attached is the regular invoice for this month using our registered payment details.,safe
55,Following up on the scheduled invoice payment; no bank details have changed.,safe
24,Please process the invoice using the bank details already on file.,safe
26,Attached is the regular invoice for this month using our registered payment details.,safe
19,Please process the invoice using the bank details already on file.,safe
91,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
52,Routine supplier payment confirmation from the established company email.,safe
49,Attached is the regular invoice for this month using our registered payment details.,safe
58,Routine supplier payment confirmation from the established company email.,safe
68,Our finance team confirms the existing payment account remains unchanged.,safe
57,Routine supplier payment confirmation from the established company email.,safe
65,Routine supplier payment confirmation from the established company email.,safe
37,Our finance team confirms the existing payment account remains unchanged.,safe
96,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
38,Attached is the regular invoice for this month using our registered payment details.,safe
56,Following up on the scheduled invoice payment; no bank details have changed.,safe
70,Routine supplier payment confirmation from the established company email.,safe
62,Please process the invoice using the bank details already on file.,safe
89,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
84,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
10,Our finance team confirms the existing payment account remains unchanged.,safe
20,Following up on the scheduled invoice payment; no bank details have changed.,safe
42,Please process the invoice using the bank details already on file.,safe
94,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
47,Please process the invoice using the bank details already on file.,safe
8,Attached is the regular invoice for this month using our registered payment details.,safe
25,Routine supplier payment confirmation from the established company email.,safe
77,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
9,Attached is the regular invoice for this month using our registered payment details.,safe
40,Our finance team confirms the existing payment account remains unchanged.,safe
67,Please process the invoice using the bank details already on file.,safe
74,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
63,Attached is the regular invoice for this month using our registered payment details.,safe
15,Please process the invoice using the bank details already on file.,safe
29,Please process the invoice using the bank details already on file.,safe
60,Our finance team confirms the existing payment account remains unchanged.,safe
11,Routine supplier payment confirmation from the established company email.,safe
73,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
44,Our finance team confirms the existing payment account remains unchanged.,safe
66,Please process the invoice using the bank details already on file.,safe
97,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
78,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
6,Routine supplier payment confirmation from the established company email.,safe
